timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751228865350,21,Pacing,200,OK,TG_performance 1-1,text,true,,0,0,1,1,null,0,0,0
1751228865558,0,Pacing,200,OK,TG_performance 1-2,text,true,,0,0,2,2,null,0,0,0
1751228865751,0,Pacing,200,OK,TG_performance 1-3,text,true,,0,0,3,3,null,0,0,0
1751228865947,0,Pacing,200,OK,TG_performance 1-4,text,true,,0,0,4,4,null,0,0,0
1751228865372,764,launch,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-1,,true,,2690,706,4,4,null,0,2,462
1751228865373,764,/web/index.php/auth/login-15,200,OK,TG_performance 1-1,text,true,,2690,706,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,764,0,462
1751228866148,1,Pacing,200,OK,TG_performance 1-5,text,true,,0,0,5,5,null,0,0,0
1751228865559,800,launch,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-2,,true,,2681,706,5,5,null,0,1,472
1751228865559,800,/web/index.php/auth/login-15,200,OK,TG_performance 1-2,text,true,,2681,706,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,800,0,472
1751228865751,757,launch,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-3,,true,,2693,706,5,5,null,0,2,455
1751228865752,757,/web/index.php/auth/login-15,200,OK,TG_performance 1-3,text,true,,2693,706,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,757,0,455
1751228865947,771,launch,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-4,,true,,2683,706,5,5,null,0,2,461
1751228865948,771,/web/index.php/auth/login-15,200,OK,TG_performance 1-4,text,true,,2683,706,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,771,0,461
1751228866149,766,launch,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-5,,true,,2701,706,5,5,null,0,2,451
1751228866150,766,/web/index.php/auth/login-15,200,OK,TG_performance 1-5,text,true,,2701,706,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,766,0,451
1751228867169,934,login,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-1,,true,,5243,2109,5,5,null,0,0,0
1751228867169,934,/web/index.php/auth/validate-39,200,OK,TG_performance 1-1,text,true,,5243,2109,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,608,0,0
1751228867169,608,/web/index.php/auth/validate-39-0,302,Found,TG_performance 1-1,text,true,,2097,1142,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,608,0,0
1751228867778,325,/web/index.php/auth/validate-39-1,200,OK,TG_performance 1-1,text,true,,3146,967,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,325,0,0
1751228867430,972,login,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-2,,true,,5243,2099,5,5,null,0,1,0
1751228867430,972,/web/index.php/auth/validate-39,200,OK,TG_performance 1-2,text,true,,5243,2099,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,635,0,0
1751228867430,635,/web/index.php/auth/validate-39-0,302,Found,TG_performance 1-2,text,true,,2097,1132,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,635,0,0
1751228868065,337,/web/index.php/auth/validate-39-1,200,OK,TG_performance 1-2,text,true,,3146,967,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,337,0,0
1751228867537,954,login,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-3,,true,,5243,2114,5,5,null,0,1,0
1751228867537,954,/web/index.php/auth/validate-39,200,OK,TG_performance 1-3,text,true,,5243,2114,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,617,0,0
1751228867537,617,/web/index.php/auth/validate-39-0,302,Found,TG_performance 1-3,text,true,,2097,1147,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,617,0,0
1751228868154,337,/web/index.php/auth/validate-39-1,200,OK,TG_performance 1-3,text,true,,3146,967,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,337,0,0
1751228867799,1039,login,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-4,,true,,5243,2099,5,5,null,0,0,0
