Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Pacing,30,1,0,1,1,19,0,19,0.000%,.21471,0.00,0.00
launch,5,777,777,777,817,817,752,817,0.000%,3.19489,8.38,2.20
login,5,956,960,963,965,965,947,965,0.000%,2.80269,14.35,5.76
click pim,15,747,692,795,1145,1202,642,1202,0.000%,.15237,0.79,0.25
click add employee,30,484,357,811,1082,1766,320,1766,0.000%,.29606,0.96,0.25
click save employee,30,1287,1359,1600,1628,3680,675,3680,0.000%,.29278,2.79,0.75
click employee list,15,349,346,359,380,394,333,394,0.000%,.15051,0.49,0.13
search employee,15,1394,1338,1576,1588,1690,1224,1690,0.000%,.14554,2.51,0.36
click time,15,709,683,798,817,836,640,836,0.000%,.14919,0.78,0.25
click projects,15,514,364,434,1334,1556,346,1556,0.000%,.14956,0.50,0.13
save project,15,3102,2955,4164,4355,4459,2319,4459,0.000%,.13743,3.15,0.70
HTTP Request-action creation,30,338,328,370,400,458,306,458,0.000%,.28961,0.41,0.23
HTTP Request- total action,30,393,335,396,402,1824,303,1824,0.000%,.28968,0.42,0.23
add timesheet,5,5289,5032,5065,6342,6342,4994,6342,80.000%,.22263,6.75,2.55
Debug Sampler,15,0,0,1,1,1,0,1,0.000%,.18402,0.26,0.00
logout,5,1097,660,696,2914,2914,596,2914,0.000%,.78579,3.58,1.34
TOTAL,275,792,380,1589,2923,5012,0,6342,1.455%,1.96817,11.17,2.99
